PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
B , 12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,5 ,5 ,5 ,5 ,10 , 0 ,5 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 1 ,5 ,5 ,5 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 , 5 ,10 , 0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,4 ,4 ,12 , 0 ,1 , 3 ,2 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,
C , 3 ,0 ,0 ,3 ,3 ,3 ,0 ,3 ,3 ,3 ,1 ,0 ,3 ,3 ,1 ,2 ,2 , 0 ,3 , 3 ,1 , 0 ,3 , 3 ,1 , 1 ,1 , 0 ,2 , 3 ,1 , 1 ,1 , 2 ,,,,,,,,,,,,,
C , 4 ,3 ,3 ,1 ,2 ,2 ,3 ,1 ,2 ,2 ,2 ,3 ,1 ,2 ,2 ,2 ,2 , 3 ,1 , 1 ,2 , 2 ,1 , 3 ,1 , 1 ,3 , 2 ,1 , 3 ,1 , 1 ,3 , 2 ,,,,,,,,,,,,,
C , 5 ,3 ,1 ,2 ,2 ,4 ,3 ,1 ,2 ,2 ,4 ,3 ,3 ,1 ,2 ,2 ,1 , 3 ,1 , 1 ,2 , 2 ,1 , 4 ,1 , 3 ,1 , 1 ,2 , 2 ,1 , 4 ,2 , 3 ,1 , 1 ,2 , 2 ,,,,,,,,,
C , 6 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,1 ,1 ,1 ,2 ,9 , 3 ,1 , 1 ,1 , 3 ,3 , 1 ,1 , 2 ,,,,,,,,,,,,,,,,,,,,,
C , 7 ,3 ,1 ,2 ,2 ,2 ,3 ,3 ,1 ,2 ,2 ,1 ,3 ,3 ,1 ,1 ,1 , 3 ,1 , 1 ,3 , 2 ,2 , 3 ,1 , 1 ,2 , 2 ,1 , 1 ,2 , 3 ,2 , 1 ,,,,,,,,,,,,,
C , 8 ,3 ,1 ,1 ,3 ,3 ,3 ,0 ,0 ,1 ,3 ,3 ,0 ,0 ,3 ,3 ,1 , 3 ,2 , 1 ,3 , 3 ,2 , 0 ,1 , 1 ,2 , 3 ,2 , 0 ,2 , 3 ,,,,,,,,,,,,,,,
C , 9 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,3 ,3 ,0 ,2 , 0 ,2 , 3 ,3 , 0 ,1 , 3 ,4 , 0 ,2 , 3 ,1 , 0 ,,,,,,,,,,,,,,,,,
