PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
G , 12 ,1 ,1 ,1 ,1 ,5 ,5 ,5 ,5 ,5 ,5 ,1 ,1 ,1 ,1 ,1 ,4 , 1 ,6 , 5 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
H , 1 ,1 ,1 ,1 ,1 ,1 ,5 ,5 ,5 ,5 ,1 ,5 ,5 ,5 ,5 ,1 ,5 , 1 ,4 , 5 ,1 , 1 ,4 , 5 ,1 , 1 ,,,,,,,,,,,,,,,,,,,,,
H , 2 ,5 ,5 ,5 ,5 ,1 ,1 ,1 ,5 ,5 ,1 ,2 ,1 ,1 ,5 ,1 ,4 , 5 ,3 , 1 ,2 , 5 ,1 , 1 ,1 , 2 ,2 , 1 ,1 , 5 ,1 , 1 ,,,,,,,,,,,,,,,
H , 3 ,2 ,2 ,1 ,1 ,1 ,2 ,2 ,2 ,1 ,1 ,4 ,4 ,2 ,2 ,1 ,2 , 2 ,3 , 1 ,3 , 2 ,2 , 1 ,2 , 4 ,2 , 2 ,1 , 1 ,,,,,,,,,,,,,,,,,
H , 4 ,5 ,5 ,4 ,2 ,1 ,5 ,5 ,4 ,2 ,1 ,5 ,5 ,4 ,2 ,1 ,2 , 5 ,1 , 4 ,1 , 2 ,1 , 1 ,2 , 5 ,1 , 4 ,1 , 2 ,1 , 1 ,2 , 5 ,1 , 4 ,1 , 2 ,1 , 1 ,,,,,,,
H , 5 ,5 ,4 ,2 ,2 ,1 ,5 ,4 ,2 ,2 ,1 ,4 ,4 ,4 ,2 ,1 ,1 , 5 ,1 , 4 ,2 , 2 ,1 , 1 ,1 , 5 ,1 , 4 ,2 , 2 ,1 , 1 ,3 , 4 ,1 , 2 ,1 , 1 ,,,,,,,,,
H , 6 ,5 ,5 ,4 ,2 ,1 ,5 ,5 ,4 ,2 ,1 ,5 ,4 ,2 ,2 ,1 ,2 , 5 ,1 , 4 ,1 , 2 ,1 , 1 ,2 , 5 ,1 , 4 ,1 , 2 ,1 , 1 ,1 , 5 ,1 , 4 ,2 , 2 ,1 , 1 ,,,,,,,
H , 7 ,5 ,4 ,2 ,2 ,1 ,4 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1 ,1 , 5 ,1 , 4 ,2 , 2 ,1 , 1 ,1 , 4 ,3 , 2 ,1 , 1 ,4 , 2 ,1 , 1 ,,,,,,,,,,,,,
H , 8 ,4 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1 ,1 , 4 ,3 , 2 ,1 , 1 ,4 , 2 ,1 , 1 ,4 , 2 ,1 , 1 ,,,,,,,,,,,,,,,,,
H , 9 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1 ,4 , 2 ,1 , 1 ,4 , 2 ,1 , 1 ,4 , 2 ,1 , 1 ,,,,,,,,,,,,,,,,,,,
H , 10 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,1 ,1 ,2 ,2 ,1 ,1 ,1 ,4 , 2 ,1 , 1 ,3 , 2 ,2 , 1 ,2 , 2 ,3 , 1 ,,,,,,,,,,,,,,,,,,,
H , 11 ,2 ,1 ,1 ,5 ,1 ,1 ,1 ,5 ,5 ,1 ,5 ,5 ,5 ,5 ,1 ,1 , 2 ,2 , 1 ,1 , 5 ,3 , 1 ,2 , 5 ,1 , 1 ,4 , 5 ,1 , 1 ,,,,,,,,,,,,,,,
H , 12 ,5 ,5 ,5 ,5 ,1 ,5 ,5 ,5 ,5 ,1 ,1 ,1 ,1 ,1 ,1 ,4 , 5 ,1 , 1 ,4 , 5 ,6 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
