A 	 1 	2 	2 	2 	2 	2 	2 	3 	3 	3 	3 	2 	3 	0 	0 	0 	
A 	 2 	2 	3 	3 	3 	0 	2 	3 	0 	0 	0 	2 	3 	0 	3 	3 	
A 	 3 	2 	3 	0 	0 	0 	2 	3 	3 	3 	3 	2 	1 	1 	1 	1 	
A 	 4 	2 	1 	1 	1 	1 	2 	1 	1 	1 	1 	2 	1 	1 	1 	1 	
A 	 5 	2 	1 	1 	1 	1 	2 	1 	1 	1 	1 	2 	1 	2 	1 	1 	
A 	 6 	2 	1 	2 	2 	1 	2 	1 	1 	2 	1 	2 	1 	1 	1 	2 	
A 	 7 	2 	1 	1 	1 	2 	2 	1 	1 	1 	2 	2 	1 	1 	1 	2 	
A 	 8 	2 	1 	1 	1 	2 	2 	1 	1 	1 	1 	2 	2 	2 	2 	2 	
B 	 1 	2 	2 	2 	2 	2 	3 	3 	3 	3 	3 	3 	0 	0 	0 	3 	
B 	 2 	3 	0 	3 	0 	3 	3 	0 	3 	0 	3 	3 	0 	3 	0 	3 	
B 	 3 	3 	0 	0 	0 	3 	3 	3 	3 	3 	3 	1 	1 	1 	1 	1 	
B 	 4 	1 	1 	1 	1 	1 	1 	1 	1 	1 	2 	1 	1 	1 	2 	2 	
B 	 5 	1 	1 	2 	2 	2 	1 	1 	2 	2 	2 	1 	1 	2 	1 	2 	
B 	 6 	1 	1 	1 	1 	2 	1 	1 	1 	1 	1 	2 	2 	2 	2 	1 	
B 	 7 	2 	2 	2 	2 	1 	2 	2 	2 	2 	1 	1 	1 	1 	2 	1 	
B 	 8 	1 	1 	1 	2 	1 	1 	1 	1 	1 	1 	2 	2 	2 	2 	2 	
C 	 1 	2 	2 	2 	2 	2 	3 	3 	3 	3 	3 	3 	0 	3 	3 	0 	
C 	 2 	0 	0 	3 	3 	0 	3 	0 	3 	3 	0 	3 	0 	3 	3 	0 	
C 	 3 	0 	0 	0 	3 	0 	3 	3 	3 	3 	3 	1 	1 	1 	1 	1 	
C 	 4 	2 	2 	2 	1 	1 	2 	2 	2 	2 	1 	2 	2 	2 	2 	2 	
C 	 5 	3 	2 	3 	2 	2 	2 	2 	2 	2 	2 	3 	3 	3 	2 	1 	
C 	 6 	2 	3 	2 	2 	1 	2 	2 	2 	1 	1 	1 	1 	1 	1 	1 	
C 	 7 	2 	2 	2 	1 	1 	2 	2 	2 	1 	1 	2 	1 	2 	1 	1 	
C 	 8 	2 	1 	2 	1 	1 	1 	1 	1 	1 	1 	2 	2 	2 	2 	2 	
D 	 1 	2 	2 	2 	2 	2 	3 	3 	3 	3 	3 	0 	0 	3 	0 	3 	
D 	 2 	3 	0 	3 	3 	0 	0 	0 	3 	3 	0 	3 	0 	3 	3 	0 	
D 	 3 	0 	0 	3 	3 	0 	3 	3 	3 	3 	0 	1 	3 	0 	0 	3 	
D 	 4 	1 	3 	0 	0 	3 	1 	3 	0 	0 	3 	1 	3 	0 	0 	3 	
D 	 5 	2 	3 	0 	0 	3 	2 	3 	0 	0 	3 	2 	3 	3 	3 	3 	
D 	 6 	1 	3 	0 	0 	3 	1 	3 	0 	0 	3 	1 	3 	3 	3 	3 	
D 	 7 	1 	3 	3 	3 	3 	1 	3 	3 	3 	3 	1 	3 	3 	3 	3 	
D 	 8 	1 	3 	3 	3 	3 	1 	3 	3 	3 	3 	2 	2 	2 	2 	2 	
E 	 1 	2 	2 	2 	2 	2 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	
E 	 2 	0 	0 	0 	0 	0 	3 	0 	0 	0 	3 	0 	0 	0 	0 	0 	
E 	 3 	0 	3 	3 	3 	0 	0 	0 	0 	0 	0 	3 	3 	3 	3 	3 	
E 	 4 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	
E 	 5 	0 	0 	0 	0 	0 	3 	3 	3 	3 	3 	0 	0 	3 	0 	0 	
E 	 6 	0 	0 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0 	3 	0 	0 	
E 	 7 	0 	0 	3 	3 	3 	0 	0 	3 	0 	0 	0 	0 	3 	0 	0 	
E 	 8 	0 	0 	3 	0 	0 	3 	3 	3 	3 	3 	2 	2 	2 	2 	2 	
F 	 1 	2 	2 	2 	2 	2 	3 	3 	3 	3 	2 	3 	0 	3 	3 	2 	
F 	 2 	0 	3 	3 	3 	2 	0 	3 	3 	3 	2 	0 	3 	3 	3 	2 	
F 	 3 	0 	3 	3 	3 	2 	0 	3 	3 	3 	2 	3 	0 	0 	3 	2 	
F 	 4 	3 	0 	0 	3 	2 	3 	0 	0 	3 	2 	3 	0 	0 	3 	2 	
F 	 5 	3 	0 	0 	3 	2 	3 	0 	0 	3 	2 	3 	3 	3 	3 	2 	
F 	 6 	3 	3 	3 	3 	2 	3 	3 	3 	3 	2 	3 	3 	3 	3 	2 	
F 	 7 	3 	3 	3 	3 	2 	3 	3 	3 	3 	2 	3 	3 	3 	3 	2 	
F 	 8 	3 	3 	3 	3 	2 	3 	3 	3 	3 	2 	2 	2 	2 	2 	2 	
