PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
E , 5 ,4 ,4 ,2 ,2 ,2 ,4 ,4 ,4 ,4 ,4 ,1 ,4 ,4 ,4 ,4 ,2 , 4 ,3 , 2 ,5 , 4 ,1 , 1 ,4 , 4 ,,,,,,,,,,,,,,,,,,,,,
E , 6 ,4 ,3 ,1 ,3 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 , 4 ,1 , 3 ,1 , 1 ,1 , 3 ,11 , 1 ,,,,,,,,,,,,,,,,,,,,,
E , 7 ,1 ,1 ,1 ,1 ,4 ,1 ,1 ,1 ,1 ,4 ,4 ,4 ,1 ,1 ,4 ,4 , 1 ,1 , 4 ,4 , 1 ,3 , 4 ,2 , 1 ,1 , 4 ,,,,,,,,,,,,,,,,,,,
E , 8 ,4 ,4 ,1 ,1 ,4 ,2 ,2 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,2 , 4 ,2 , 1 ,1 , 4 ,5 , 2 ,5 , 0 ,,,,,,,,,,,,,,,,,,,,,
F , 1 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,3 ,3 ,3 ,5 ,3 ,5 ,3 ,5 ,5 , 0 ,5 , 3 ,1 , 5 ,1 , 3 ,1 , 5 ,1 , 3 ,1 , 5 ,,,,,,,,,,,,,,,,,
F , 2 ,3 ,3 ,5 ,3 ,5 ,5 ,3 ,5 ,3 ,5 ,5 ,3 ,5 ,3 ,5 ,2 , 3 ,1 , 5 ,1 , 3 ,2 , 5 ,1 , 3 ,1 , 5 ,1 , 3 ,2 , 5 ,1 , 3 ,1 , 5 ,1 , 3 ,1 , 5 ,,,,,,,
F , 3 ,5 ,3 ,5 ,3 ,5 ,2 ,2 ,2 ,2 ,2 ,2 ,5 ,5 ,5 ,2 ,1 , 5 ,1 , 3 ,1 , 5 ,1 , 3 ,1 , 5 ,6 , 2 ,3 , 5 ,1 , 2 ,,,,,,,,,,,,,,,
F , 4 ,2 ,2 ,2 ,5 ,2 ,2 ,5 ,5 ,5 ,2 ,2 ,5 ,2 ,2 ,2 ,3 , 2 ,1 , 5 ,2 , 2 ,3 , 5 ,2 , 2 ,1 , 5 ,3 , 2 ,,,,,,,,,,,,,,,,,
F , 5 ,2 ,5 ,5 ,5 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,4 ,4 ,5 ,5 ,1 , 2 ,3 , 5 ,1 , 2 ,1 , 4 ,4 , 2 ,3 , 4 ,2 , 5 ,,,,,,,,,,,,,,,,,
F , 6 ,3 ,1 ,3 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,4 ,4 ,1 ,1 ,1 ,1 , 3 ,1 , 1 ,1 , 3 ,7 , 1 ,2 , 4 ,3 , 1 ,,,,,,,,,,,,,,,,,,,
F , 7 ,4 ,4 ,4 ,1 ,1 ,4 ,4 ,4 ,1 ,1 ,4 ,4 ,4 ,1 ,2 ,3 , 4 ,2 , 1 ,3 , 4 ,2 , 1 ,3 , 4 ,1 , 1 ,1 , 2 ,,,,,,,,,,,,,,,,,
F , 8 ,4 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,1 , 4 ,9 , 2 ,5 , 0 ,,,,,,,,,,,,,,,,,,,,,,,,,
G , 1 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,3 ,3 ,0 ,3 ,5 ,3 ,5 ,0 ,5 , 0 ,4 , 3 ,1 , 0 ,1 , 3 ,1 , 5 ,1 , 3 ,1 , 5 ,1 , 0 ,,,,,,,,,,,,,,,
G , 2 ,3 ,5 ,3 ,5 ,0 ,3 ,5 ,5 ,5 ,0 ,3 ,3 ,3 ,5 ,0 ,1 , 3 ,1 , 5 ,1 , 3 ,1 , 5 ,1 , 0 ,1 , 3 ,3 , 5 ,1 , 0 ,3 , 3 ,1 , 5 ,1 , 0 ,,,,,,,,,
G , 3 ,3 ,5 ,5 ,5 ,0 ,2 ,2 ,2 ,2 ,0 ,5 ,5 ,5 ,2 ,0 ,1 , 3 ,3 , 5 ,1 , 0 ,4 , 2 ,1 , 0 ,3 , 5 ,1 , 2 ,1 , 0 ,,,,,,,,,,,,,,,
G , 4 ,2 ,2 ,5 ,2 ,0 ,5 ,5 ,5 ,2 ,0 ,5 ,2 ,2 ,2 ,0 ,2 , 2 ,1 , 5 ,1 , 2 ,1 , 0 ,3 , 5 ,1 , 2 ,1 , 0 ,1 , 5 ,3 , 2 ,1 , 0 ,,,,,,,,,,,
G , 5 ,5 ,5 ,5 ,2 ,0 ,2 ,2 ,2 ,2 ,0 ,1 ,1 ,2 ,2 ,0 ,3 , 5 ,1 , 2 ,1 , 0 ,4 , 2 ,1 , 0 ,2 , 1 ,2 , 2 ,1 , 0 ,,,,,,,,,,,,,,,
G , 6 ,1 ,1 ,1 ,2 ,0 ,1 ,1 ,2 ,2 ,0 ,1 ,1 ,2 ,2 ,0 ,3 , 1 ,1 , 2 ,1 , 0 ,2 , 1 ,2 , 2 ,1 , 0 ,2 , 1 ,2 , 2 ,1 , 0 ,,,,,,,,,,,,,
G , 7 ,1 ,2 ,2 ,2 ,0 ,1 ,2 ,2 ,2 ,0 ,2 ,2 ,2 ,2 ,0 ,1 , 1 ,3 , 2 ,1 , 0 ,1 , 1 ,3 , 2 ,1 , 0 ,4 , 2 ,1 , 0 ,,,,,,,,,,,,,,,
G , 8 ,2 ,2 ,2 ,2 ,0 ,2 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,4 , 2 ,1 , 0 ,4 , 2 ,6 , 0 ,,,,,,,,,,,,,,,,,,,,,,,
